Table with column headers in row 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
36,087,NY,Rockland County,"35,573","29,930","41,216",11.6,9.8,13.4,"15,874","12,649","19,099",18.3,14.6,22.0,"10,390","8,082","12,698",16.5,12.8,20.2,"79,798","75,376","84,220",,,,,,
36,089,NY,St. Lawrence County,"17,625","15,268","19,982",17.4,15.1,19.7,"5,879","4,938","6,820",25.4,21.3,29.5,"3,717","3,021","4,413",22.4,18.2,26.6,"40,008","37,538","42,478",,,,,,
36,091,NY,Saratoga County,"15,043","12,179","17,907",7.0,5.7,8.3,"4,140","3,134","5,146",8.4,6.4,10.4,"2,767","2,084","3,450",7.5,5.7,9.3,"65,508","62,510","68,506",,,,,,
36,093,NY,Schenectady County,"18,084","15,065","21,103",12.0,10.0,14.0,"6,524","5,253","7,795",18.7,15.1,22.3,"4,230","3,352","5,108",16.5,13.1,19.9,"52,062","49,817","54,307",,,,,,
36,095,NY,Schoharie County,"4,151","3,350","4,952",13.3,10.7,15.9,"1,096",837,"1,355",17.1,13.0,21.2,721,538,904,14.8,11.0,18.6,"47,350","44,212","50,488",,,,,,
36,097,NY,Schuyler County,"2,352","1,798","2,906",13.1,10.0,16.2,884,673,"1,095",23.4,17.8,29.0,601,460,742,20.7,15.8,25.6,"46,870","43,361","50,379",,,,,,
36,099,NY,Seneca County,"4,533","3,652","5,414",14.0,11.3,16.7,"1,600","1,271","1,929",22.1,17.6,26.6,"1,068",842,"1,294",20.3,16.0,24.6,"45,961","42,960","48,962",,,,,,
36,101,NY,Steuben County,"14,012","11,539","16,485",14.4,11.9,16.9,"4,879","3,804","5,954",21.6,16.8,26.4,"3,219","2,469","3,969",19.2,14.7,23.7,"45,231","43,035","47,427",,,,,,
36,103,NY,Suffolk County,"96,067","82,879","109,255",6.6,5.7,7.5,"29,357","23,384","35,330",8.4,6.7,10.1,"19,521","15,516","23,526",7.3,5.8,8.8,"81,235","79,924","82,546",,,,,,
36,105,NY,Sullivan County,"14,375","12,429","16,321",19.1,16.5,21.7,"4,783","3,973","5,593",27.9,23.2,32.6,"3,157","2,572","3,742",25.4,20.7,30.1,"43,882","40,501","47,263",,,,,,
36,107,NY,Tioga County,"4,963","3,851","6,075",9.8,7.6,12.0,"1,844","1,400","2,288",15.7,11.9,19.5,"1,218",918,"1,518",13.9,10.5,17.3,"50,043","46,815","53,271",,,,,,
36,109,NY,Tompkins County,"17,351","15,452","19,250",19.6,17.5,21.7,"2,478","1,899","3,057",15.4,11.8,19.0,"1,610","1,227","1,993",13.7,10.4,17.0,"50,156","47,143","53,169",,,,,,
36,111,NY,Ulster County,"21,820","18,256","25,384",12.5,10.5,14.5,"5,490","4,299","6,681",15.3,12.0,18.6,"3,730","2,886","4,574",13.9,10.8,17.0,"51,194","48,883","53,505",,,,,,
36,113,NY,Warren County,"6,775","5,336","8,214",10.4,8.2,12.6,"2,255","1,704","2,806",17.0,12.8,21.2,"1,530","1,151","1,909",15.3,11.5,19.1,"50,269","47,296","53,242",,,,,,
36,115,NY,Washington County,"7,230","5,750","8,710",12.0,9.5,14.5,"2,462","1,908","3,016",19.0,14.7,23.3,"1,641","1,247","2,035",17.1,13.0,21.2,"46,629","43,490","49,768",,,,,,
36,117,NY,Wayne County,"9,783","7,980","11,586",10.6,8.7,12.5,"3,562","2,815","4,309",16.3,12.9,19.7,"2,263","1,733","2,793",13.9,10.7,17.1,"50,213","47,752","52,674",,,,,,
36,119,NY,Westchester County,"83,041","73,853","92,229",9.0,8.0,10.0,"25,689","21,641","29,737",11.5,9.7,13.3,"17,768","14,842","20,694",10.6,8.8,12.4,"76,993","74,678","79,308",,,,,,
36,121,NY,Wyoming County,"4,111","3,173","5,049",10.8,8.3,13.3,"1,360","1,031","1,689",15.9,12.0,19.8,896,672,"1,120",13.9,10.4,17.4,"46,846","43,350","50,342",,,,,,
36,123,NY,Yates County,"4,103","3,245","4,961",17.0,13.4,20.6,"1,758","1,357","2,159",29.0,22.4,35.6,"1,175",902,"1,448",26.5,20.4,32.6,"43,820","40,301","47,339",,,,,,
